entry_time,exit_time,entry_price,exit_price,contracts,is_long,pnl,pnl_pct,duration_minutes,exit_reason,stop_loss,take_profit
2025-12-09 10:00:00+00:00,2025-12-09 20:00:00+00:00,6860.0,6853.75,1,True,-127.5,-1.858600583090379,600,TIME_STOP,6825.45125,6928.3475
2025-12-10 00:00:00+00:00,2025-12-10 10:00:00+00:00,6849.25,6851.5,1,True,42.5,0.6205058948060007,600,TIME_STOP,6814.755,6917.49
2025-12-10 10:00:00+00:00,2025-12-10 20:00:00+00:00,6852.0,6902.75,1,True,1012.5,14.776707530647986,600,TIME_STOP,6817.49125,6920.2675
2025-12-10 23:00:00+00:00,2025-12-11 09:00:00+00:00,6884.75,6845.5,1,False,782.5,11.36569955336069,600,TIME_STOP,6919.424999999999,6816.15
2025-12-11 09:00:00+00:00,2025-12-11 15:15:00+00:00,6845.0,6879.75,1,False,-697.5,-10.189919649379108,375,STOP_LOSS,6879.47625,6776.7975
2025-12-11 15:15:00+00:00,2025-12-11 21:00:00+00:00,6879.0,6914.0,1,False,-702.5,-10.212240151184766,345,STOP_LOSS,6913.646249999999,6810.4574999999995
2025-12-11 21:30:00+00:00,2025-12-12 08:30:00+00:00,6918.75,6910.0,1,False,172.5,2.4932249322493227,660,TIME_STOP,6953.594999999999,6849.8099999999995
2025-12-12 08:30:00+00:00,2025-12-12 15:45:00+00:00,6909.5,6841.0,1,False,1367.5,19.791591287357985,435,TAKE_PROFIT,6944.298749999999,6840.6525
2025-12-12 16:15:00+00:00,2025-12-15 03:15:00+00:00,6826.5,6844.5,1,True,357.5,5.236944261334505,3540,TIME_STOP,6792.11875,6894.5125
2025-12-15 03:15:00+00:00,2025-12-15 13:15:00+00:00,6844.5,6864.0,1,False,-392.5,-5.734531375557016,600,TIME_STOP,6878.973749999999,6776.3025
2025-12-15 13:15:00+00:00,2025-12-16 00:15:00+00:00,6863.5,6815.25,1,False,962.5,14.023457419683835,660,TIME_STOP,6898.068749999999,6795.1125
2025-12-16 00:15:00+00:00,2025-12-16 01:30:00+00:00,6815.25,6780.75,1,True,-692.5,-10.161035912108874,75,STOP_LOSS,6780.925,6883.15
2025-12-16 01:30:00+00:00,2025-12-16 11:30:00+00:00,6782.75,6810.75,1,True,557.5,8.219380044967012,600,TIME_STOP,6748.5875,6850.325
2025-12-16 11:30:00+00:00,2025-12-16 21:30:00+00:00,6810.75,6797.0,1,False,272.5,4.001027786954447,600,TIME_STOP,6845.054999999999,6742.89
2025-12-16 21:30:00+00:00,2025-12-17 08:30:00+00:00,6796.5,6812.0,1,False,-312.5,-4.597954829691753,660,TIME_STOP,6830.733749999999,6728.7825
2025-12-17 08:30:00+00:00,2025-12-17 16:45:00+00:00,6811.5,6744.0,1,False,1347.5,19.78272039932467,495,TAKE_PROFIT,6845.808749999999,6743.6325
2025-12-17 16:45:00+00:00,2025-12-18 03:45:00+00:00,6753.75,6728.0,1,True,-517.5,-7.6624097723486955,660,TIME_STOP,6719.7325,6821.035
2025-12-18 03:45:00+00:00,2025-12-18 13:45:00+00:00,6728.5,6776.5,1,True,957.5,14.230512001188972,600,TIME_STOP,6694.60875,6795.5325
2025-12-18 13:45:00+00:00,2025-12-18 15:30:00+00:00,6776.5,6811.0,1,False,-692.5,-10.219139673872943,105,STOP_LOSS,6810.633749999999,6708.9825
2025-12-18 15:30:00+00:00,2025-12-19 02:30:00+00:00,6816.0,6777.5,1,False,767.5,11.260269953051644,660,TIME_STOP,6850.331249999999,6748.0875
2025-12-19 02:30:00+00:00,2025-12-19 12:30:00+00:00,6777.0,6786.0,1,False,-182.5,-2.6929319758005015,600,TIME_STOP,6811.13625,6709.4775
2025-12-19 12:30:00+00:00,2025-12-19 14:15:00+00:00,6786.0,6794.0,1,True,157.5,2.320954907161804,105,END_OF_DATA,6751.82125,6853.6075
